longitude,latitude,distance_from_green_street_m,green_percentage,crime_score,split,grid_row,grid_col,block_id
-88.20914767553248,40.127252643835426,2043.4264038894794,0.0,0.0,train,301,653,133
-88.18399713378916,40.14685647153788,5029.766732101975,0.0,0.0,train,83,867,37
-88.21042300359967,40.135719847001724,2890.1637198938874,0.0,0.0,train,207,642,92
-88.19963176670092,40.07374484524428,4428.506021795137,0.0,0.0,train,895,735,354
-88.1699160303236,40.14602689921555,5766.452462640493,0.0,0.0,train,92,987,39
-88.22836720991248,40.06512838418474,5032.3748195995095,0.0,0.0,train,991,490,389
-88.20742202212924,40.10869793340227,1044.4283298498092,7.249999999999999,2.6104565,train,507,668,213
-88.25916103929498,40.097124543357644,2043.5192723301218,0.0,0.0,train,636,227,244
-88.20070084164163,40.06654102561623,5148.0795704585025,0.0,0.0,train,975,726,394
-88.20459883367437,40.11301782873156,1290.7030288475717,0.0,1.9632065,train,459,692,193
-88.20265108010184,40.08878880049205,2814.217131078551,0.75,0.057009894,train,728,709,294
-88.23492095540759,40.072429251429696,4209.006836216336,0.0,0.0,train,910,434,368
-88.28485572275,40.08056658213828,4898.6818356718295,0.0,0.0,train,820,8,320
-88.27367204611434,40.132527466394095,3644.5326819378715,1.7500000000000002,0.0,train,243,103,82
-88.27273904888489,40.126132564614885,3138.5260871352366,0.5,0.0,train,314,111,122
-88.19494713457021,40.12930797656816,2941.8212485486756,12.75,0.0,train,278,774,115
-88.28457411015823,40.146582250994896,5411.039540160858,0.0,0.0,train,87,10,20
-88.23197682518062,40.08143301484972,3215.3767019899133,21.5,0.0,train,810,459,329
-88.20328914050494,40.12319341234906,1959.0211862568226,1.25,0.039842322,train,346,703,134
-88.2047146074463,40.11382851926188,1302.7099486037666,21.25,0.20288682,train,450,691,193
-88.26605090205253,40.12684937030011,2739.648799097165,0.25,0.0,train,306,168,123
-88.19243989658237,40.15028940301093,4968.323795425068,0.0,0.0,train,45,795,15
-88.27853206098435,40.07110714278416,5328.715333549431,0.0,0.0,train,925,62,361
-88.24539050736473,40.13557155591108,2827.635268260776,0.0,0.0,train,209,344,86
-88.19374971173029,40.14110467303171,4029.961831336379,0.0,0.0,train,147,784,55
-88.23493676143472,40.1428581715361,3608.927284524449,0.0,0.0,train,128,433,48
-88.28165563268303,40.12613688656334,3791.105218443461,0.0,0.0,train,314,35,120
-88.19597662095674,40.14245826562277,4060.3093617186105,35.75,0.0,train,132,765,55
-88.19265068181697,40.10498837021208,2365.9288244519835,0.0,0.0,train,548,794,215
-88.19223628459994,40.135248806308965,3583.7726539200476,0.0,0.0,train,212,797,95
-88.2311202667182,40.10538895658061,557.8629620984696,0.0,12.788108,train,544,466,209
-88.23827431575086,40.10575529908171,503.0527124158322,0.0,59.90598,train,540,405,208
-88.25811777204122,40.086046146161344,3002.9164956841732,1.5,0.0,train,759,236,304
-88.2321762561795,40.10511969590228,585.6672432932097,1.0,29.590815,train,547,457,209
-88.25143361427337,40.08658199058473,2736.8649475835164,4.0,0.0,train,753,293,305
-88.19920954854553,40.109679402126986,1725.6631582400128,8.25,0.30021626,train,496,738,194
-88.21763523744333,40.103575020019875,797.0203224537225,0.0,3.0128407,train,564,581,231
-88.22850094278098,40.130784205167274,2255.958768826458,0.0,0.0,train,262,488,109
-88.25961992898719,40.10658141358362,1529.6274983745645,2.5,0.0,train,531,223,204
-88.24331225422884,40.10990220102485,91.93556584409329,20.5,136.07256,train,494,362,187
-88.18810929410151,40.144700215551,4629.95698346715,0.0,0.0,train,107,832,56
-88.24358707750302,40.0792810800101,3436.425146323353,13.5,0.0,train,834,360,327
-88.17277987341274,40.07605238198762,5526.99114563821,0.0,0.0,train,869,964,359
-88.18418124641781,40.11632564420034,3069.6070619339357,17.75,1.2018044,train,422,866,177
-88.28392309868697,40.07318101903342,5431.3323603669805,0.0,0.0,train,902,16,360
-88.27508244311343,40.12973625653677,3535.608373569786,5.5,0.0,train,274,91,101
-88.2470386159932,40.13133987500659,2379.910618899862,31.5,0.0,train,256,330,106
-88.22575680383348,40.08521004817895,2808.3788905072533,0.0,0.0,train,768,512,310
-88.2150033573438,40.06565588479623,5006.911205581361,0.0,0.0,train,985,604,392
-88.21407989739873,40.12464602252265,1622.1585906157968,78.75,0.0,train,330,611,132
-88.27817913900331,40.07263804824298,5173.264323189691,0.0,0.0,train,908,65,361
-88.21406085076173,40.135543526656605,2804.4975436182253,31.25,0.0,train,209,611,92
-88.22071151033202,40.08727669893541,2588.895135452622,0.0,0.0,train,745,555,291
-88.21332972505192,40.084207149433226,2978.4805158357963,0.0,0.0,train,779,618,312
-88.18568635873928,40.125513927791424,3316.6359558160375,0.0,0.0,train,320,853,137
-88.17385661507038,40.117032386963345,3948.4114905951046,0.0,0.17206128,train,414,954,179
-88.23356949336173,40.11484765465695,496.92970051368883,0.0,32.752064,train,439,445,168
-88.27755335937763,40.12118155657399,3241.4838250806883,10.25,0.0,train,369,70,141
-88.25311882520312,40.14926659171918,4432.785795834496,0.0,0.0,train,57,278,25
-88.21131136664306,40.09825483531153,1537.1596466118276,31.75,0.087333925,train,623,635,252
-88.23939428159537,40.14421280301554,3768.1164111115086,12.0,0.0,train,113,395,47
-88.28506928559858,40.110197315777704,3645.09053785185,0.0,0.0,train,491,6,180
-88.27625837618066,40.12658466378894,3417.077203640208,0.0,0.0,train,309,81,121
-88.25947028975598,40.136482013116016,3262.6319539315878,17.0,0.28977638,train,199,224,64
-88.25607412569309,40.1305356955693,2542.9660461609938,0.0,0.0,train,265,253,105
-88.19387686664483,40.078871651931244,4143.700747715012,0.0,0.0,train,838,784,335
-88.2735525021476,40.13504914486812,3833.2386651148863,1.5,0.0,train,215,104,82
-88.171148487834,40.12126155551013,4280.704364831864,0.0,0.0,train,367,977,159
-88.22440225414067,40.125827000754086,1697.6166964489473,33.75,0.0,train,317,523,130
-88.2075907099851,40.08077867121202,3463.6033840531422,25.75,0.0,train,817,667,333
-88.27555016016157,40.1316277969648,3698.5416065492186,6.0,0.015701305,train,253,87,101
-88.24030819745353,40.07639647719826,3757.9594557716828,33.0,0.054353487,train,866,388,347
-88.27337090489061,40.07461704723315,4757.84323240012,0.0,0.0,train,886,106,342
-88.24936031931739,40.15160553603063,4634.849368096796,21.25,0.0,train,31,310,6
-88.1688072502541,40.07046290002496,6205.468044664684,0.0,0.0,train,931,998,379
-88.23949899604521,40.15339920177965,4788.058239543489,0.0,0.0,train,11,394,7
-88.23926049094321,40.07099184684697,4359.969166364391,0.0,0.0,train,926,397,367
-88.28445913957395,40.14324990940207,5134.024975614814,0.0,0.0,train,124,11,40
-88.24766698710249,40.098107302770266,1419.7323167929032,0.0,1.5501075,train,625,325,246
-88.23474019179999,40.11646978061026,679.3064011671165,0.0,1.1867353,train,421,435,168
-88.24901757198167,40.144040085693796,3798.962700585875,6.0,0.0,train,115,313,46
-88.26008387173073,40.11144508449776,1521.1061346147208,0.0,1.6581066,train,477,219,184
